AccX,AccY,AccZ
0.9005273438,-5.083728333,-6.440057831
-1.087638245,-8.139024811,-1.120270386
-1.139430542,-8.076454926,1.82410675
0.2052232361,-14.93818588,-2.913391571
-0.9479786682,-13.34789291,-1.876647491
-2.861150208,-11.5127092,-6.057752838
-0.7509883118,-16.63161438,2.353555756
-2.160457306,-13.07845322,2.384092255
-3.011886749,-6.756799164,3.460653534
-3.067870331,-3.244353333,-1.555265808
-3.288361816,-2.342778168,1.157991943
-1.782792664,-4.498894501,-1.748663635
-3.749852142,-13.00750076,-7.894882507
-4.612358551,-4.332440643,-1.469793549
-5.293741608,-10.15263748,3.51259552
-3.255879364,-9.942923584,2.596949615
-2.325114899,-12.18316498,1.441352692
-0.02933898926,-5.510191498,-1.19002533
-0.3927832031,-8.908275146,0.2712359619
-1.492246857,-9.550439758,1.16427887
-2.930306396,-12.71021896,-3.398383026
-0.1586700439,-12.90182053,0.5453160095
0.1035845947,-12.40440491,-0.07888595581
0.4010160828,-14.40783875,3.512894897
-2.187101898,-17.87148605,1.420995026
-3.658691711,-8.837472382,3.138523407
-1.605261841,-4.400549011,0.4782554626
-2.349364471,-1.443448334,2.071392517
-2.172731781,-0.1432521057,1.1771521
-4.533023529,-31.84822128,-15.2312764
-2.986589355,-2.915187836,-3.669618988
-3.67171463,-13.85488861,2.243833923
-3.996838531,-6.633305969,1.025367737
-3.475472717,-12.14319809,1.718127136
-1.033899994,-8.139473877,0.5764512634
0.6036946106,-8.385412445,-4.143982544
-0.9517208862,-7.133715363,-0.4273612976
-2.050136719,-11.84217407,0.2769241333
0.3305126953,-12.85227356,-1.197659454
0.08128097534,-14.80196915,0.3095562744
-0.3680845642,-12.61067596,3.169359283
-1.563049622,-16.02911728,1.941313019
-3.357817383,-11.6534166,3.770509186
-3.871100006,-4.170028381,-3.075953522
-2.148931274,-4.115841064,1.09407486
-3.013383636,-0.6959028625,0.6869215393
-5.443130951,-31.1286676,-26.06499756
-0.2601589966,-6.908583527,-6.052962799
-3.116668854,-11.75116333,-3.061733093
-5.680986328,-8.50306778,1.249002686
-3.040926361,-8.386460266,1.365011444
-2.284100189,-12.49421814,1.432071991
-0.1281335449,-5.532644806,0.2944377136
0.3213816833,-8.273744659,-1.076261902
-1.333127747,-8.683592377,0.4887336731
-0.872535553,-13.52796844,-4.435875549
0.1919009399,-14.48627563,0.4552033997
-1.06129303,-11.8298996,-3.861819305
-0.3814068604,-14.9061525,2.637814636
-3.096460876,-15.65504517,2.880909119
-3.259621582,-5.726791077,3.957171021
-2.919079742,-3.321293335,-1.306632843
-3.09720932,-2.021097107,0.209564209
-1.275198212,-0.7551795959,0.8870553589
-3.672762451,-29.03257645,-11.7846936
-2.856509857,-2.861449585,-1.775757294
-7.283703461,-14.14992508,3.825744324
-2.964435425,-6.903045044,2.229613495
-3.361260223,-13.29071182,1.916913757
-0.9538165283,-6.945107574,0.4993615723
-0.1919009399,-10.34064651,-3.425027618
-1.850901031,-7.295079803,-0.04370910645
-1.838476868,-10.898237,0.180075531
0.6062393188,-13.1211145,-1.957030334
-2.266586609,-13.47108673,-6.23887619
-0.2748284912,-13.87300095,3.385360107
-2.033371582,-15.78826813,1.530716858
-3.035387878,-8.879235535,2.520458679
-3.996090088,-3.085832977,-1.180145874
-2.236349487,-3.395089874,2.037712555
-1.080752563,-0.7798782349,1.511856079
-4.294719086,-30.96386032,-12.17328552
-2.06989563,-2.63272522,-4.603227539
-5.63742691,-15.09011993,0.7075785828
-3.299289093,-5.579796753,1.481469269
-3.282823334,-12.30291595,2.586172028
-1.085991669,-8.790320435,0.6732998657
0.3802093506,-8.19530777,-2.99422348
-1.409468994,-8.29589859,-1.133892059
-2.271077271,-11.38697067,0.6782395935
-0.001796264648,-12.13855774,-1.430275726
0.6807843018,-14.78894623,0.9717791748
-1.08120163,-13.00690201,-0.5396278381
-1.503772888,-17.1356163,1.741478577
-3.44239151,-13.27828766,2.608026581
-5.118905182,-3.847449188,-0.2953358459
-1.864822083,-3.464994507,0.9961784363
-1.671873322,-0.366587677,1.473535767
-4.921914825,-25.53569824,-27.62295776
-3.777694244,-4.796026611,-6.657405853
-5.254523163,-9.929152222,1.188378754
-3.238365784,-5.924230499,1.254391479
-2.761607208,-11.62976578,2.976410522
